"","Species","TREE_ID","X","Y","Year","logF_current"
"277","Abies concolor","50402_2_35_6_1_113",40.741974,-121.129558,2012,4.88534670709786
"278","Abies concolor","50402_2_35_6_2_116",40.741974,-121.129558,2002,4.89980309600021
"279","Abies concolor","50402_2_35_6_2_116",40.741974,-121.129558,2012,4.88528375209786
"280","Abies concolor","50402_2_35_6_3_141",40.741974,-121.129558,2002,4.90000874900021
"281","Abies concolor","50402_2_35_6_3_141",40.741974,-121.129558,2012,4.88546842009786
"282","Abies concolor","50465_2_35_6_1_300",40.333062,-120.71922,2008,4.7140993808042
"283","Abies concolor","50465_2_35_6_1_300",40.333062,-120.71922,2018,6.4187938799323
"284","Abies concolor","50465_2_35_6_1_302",40.333062,-120.71922,2008,4.7140322288042
"285","Abies concolor","50465_2_35_6_1_302",40.333062,-120.71922,2018,6.4186637729323
"286","Abies concolor","50465_2_35_6_1_303",40.333062,-120.71922,2008,4.7135369828042
"287","Abies concolor","50465_2_35_6_1_303",40.333062,-120.71922,2018,6.4182188909323
"288","Abies concolor","50465_2_35_6_1_304",40.333062,-120.71922,2008,4.7135201948042
"289","Abies concolor","50465_2_35_6_1_304",40.333062,-120.71922,2018,6.4182272849323
"290","Abies concolor","50465_2_35_6_2_305",40.333062,-120.71922,2008,4.7138475608042
"291","Abies concolor","50465_2_35_6_2_305",40.333062,-120.71922,2018,6.4184874989323
"292","Abies concolor","50465_2_35_6_2_306",40.333062,-120.71922,2008,4.7130585248042
"293","Abies concolor","50465_2_35_6_2_306",40.333062,-120.71922,2018,6.4177446299323
"294","Abies concolor","50465_2_35_6_3_308",40.333062,-120.71922,2008,4.7142168968042
"295","Abies concolor","50465_2_35_6_3_308",40.333062,-120.71922,2018,6.4189030019323
"296","Abies concolor","50465_2_35_6_3_309",40.333062,-120.71922,2008,4.7135579678042
"297","Abies concolor","50465_2_35_6_3_309",40.333062,-120.71922,2018,6.4182398759323
"298","Abies concolor","50465_2_35_6_4_313",40.333062,-120.71922,2008,4.7138937278042
"299","Abies concolor","50465_2_35_6_4_313",40.333062,-120.71922,2018,6.4186050149323
"300","Abies concolor","50465_2_35_6_4_314",40.333062,-120.71922,2008,4.7138601518042
"301","Abies concolor","50465_2_35_6_4_314",40.333062,-120.71922,2018,6.4186427879323
"302","Abies concolor","50465_2_35_6_4_318",40.333062,-120.71922,2008,4.7142126998042
"303","Abies concolor","50465_2_35_6_4_318",40.333062,-120.71922,2018,6.4189491689323
"304","Abies concolor","50465_2_35_6_4_319",40.333062,-120.71922,2008,4.7134152698042
"305","Abies concolor","50465_2_35_6_4_319",40.333062,-120.71922,2018,6.4182272849323
"306","Abies concolor","50465_2_35_6_4_320",40.333062,-120.71922,2008,4.7139315008042
"307","Abies concolor","50465_2_35_6_4_320",40.333062,-120.71922,2018,6.4186427879323
"308","Abies concolor","50465_2_35_6_4_321",40.333062,-120.71922,2008,4.7139273038042
"309","Abies concolor","50465_2_35_6_4_321",40.333062,-120.71922,2018,6.4186721669323
